# CREATED BY GENE DIAGNOSTICS TOOL on Fri Dec 11 19:26:24 2020
# diag: timetrace, run(s): 0029, time window: 0-1500(1592 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/LHD_s0.25_alpha-0_npol3_nz0768/
# normalization: L_ref=1.65m
#
#  t          Re[phi]     Im[phi]   
  2.7064E+02  3.9061E-02 -3.0898E-03
  2.7158E+02  3.8931E-02 -3.0968E-03
  2.7253E+02  3.8803E-02 -3.1039E-03
  2.7347E+02  3.8677E-02 -3.1110E-03
  2.7441E+02  3.8555E-02 -3.1180E-03
  2.7536E+02  3.8438E-02 -3.1251E-03
  2.7630E+02  3.8327E-02 -3.1322E-03
  2.7724E+02  3.8221E-02 -3.1392E-03
  2.7819E+02  3.8123E-02 -3.1463E-03
  2.7913E+02  3.8031E-02 -3.1534E-03
  2.8007E+02  3.7947E-02 -3.1604E-03
  2.8101E+02  3.7870E-02 -3.1675E-03
  2.8196E+02  3.7801E-02 -3.1746E-03
  2.8290E+02  3.7739E-02 -3.1817E-03
  2.8384E+02  3.7684E-02 -3.1888E-03
  2.8479E+02  3.7636E-02 -3.1959E-03
  2.8573E+02  3.7595E-02 -3.2031E-03
  2.8667E+02  3.7559E-02 -3.2102E-03
  2.8761E+02  3.7528E-02 -3.2173E-03
  2.8856E+02  3.7502E-02 -3.2245E-03
  2.8950E+02  3.7479E-02 -3.2316E-03
  2.9044E+02  3.7459E-02 -3.2387E-03
  2.9139E+02  3.7441E-02 -3.2459E-03
  2.9233E+02  3.7425E-02 -3.2530E-03
  2.9327E+02  3.7410E-02 -3.2601E-03
  2.9422E+02  3.7395E-02 -3.2671E-03
  2.9516E+02  3.7382E-02 -3.2742E-03
  2.9610E+02  3.7370E-02 -3.2812E-03
  2.9704E+02  3.7357E-02 -3.2882E-03
  2.9799E+02  3.7344E-02 -3.2952E-03
  2.9893E+02  3.7331E-02 -3.3022E-03
  2.9987E+02  3.7320E-02 -3.3091E-03
  3.0082E+02  3.7311E-02 -3.3160E-03
  3.0176E+02  3.7304E-02 -3.3229E-03
  3.0270E+02  3.7299E-02 -3.3297E-03
  3.0365E+02  3.7295E-02 -3.3366E-03
  3.0459E+02  3.7293E-02 -3.3434E-03
  3.0553E+02  3.7292E-02 -3.3502E-03
  3.0647E+02  3.7294E-02 -3.3570E-03
  3.0742E+02  3.7297E-02 -3.3638E-03
  3.0836E+02  3.7300E-02 -3.3705E-03
  3.0930E+02  3.7304E-02 -3.3773E-03
  3.1025E+02  3.7307E-02 -3.3840E-03
  3.1119E+02  3.7309E-02 -3.3907E-03
  3.1213E+02  3.7309E-02 -3.3973E-03
  3.1308E+02  3.7306E-02 -3.4040E-03
  3.1402E+02  3.7301E-02 -3.4106E-03
  3.1496E+02  3.7292E-02 -3.4172E-03
  3.1590E+02  3.7280E-02 -3.4237E-03
  3.1685E+02  3.7264E-02 -3.4303E-03
  3.1779E+02  3.7244E-02 -3.4368E-03
  3.1873E+02  3.7221E-02 -3.4432E-03
  3.1968E+02  3.7195E-02 -3.4496E-03
  3.2062E+02  3.7167E-02 -3.4560E-03
  3.2156E+02  3.7136E-02 -3.4624E-03
  3.2251E+02  3.7104E-02 -3.4688E-03
  3.2345E+02  3.7070E-02 -3.4751E-03
  3.2439E+02  3.7036E-02 -3.4815E-03
  3.2533E+02  3.7003E-02 -3.4878E-03
  3.2628E+02  3.6970E-02 -3.4941E-03
  3.2722E+02  3.6938E-02 -3.5005E-03
  3.2816E+02  3.6908E-02 -3.5068E-03
  3.2911E+02  3.6879E-02 -3.5132E-03
  3.3005E+02  3.6851E-02 -3.5195E-03
  3.3099E+02  3.6826E-02 -3.5259E-03
  3.3194E+02  3.6802E-02 -3.5324E-03
  3.3288E+02  3.6780E-02 -3.5388E-03
  3.3382E+02  3.6761E-02 -3.5453E-03
  3.3476E+02  3.6743E-02 -3.5518E-03
  3.3571E+02  3.6727E-02 -3.5583E-03
  3.3665E+02  3.6712E-02 -3.5649E-03
  3.3759E+02  3.6699E-02 -3.5714E-03
  3.3854E+02  3.6687E-02 -3.5780E-03
  3.3948E+02  3.6676E-02 -3.5846E-03
  3.4042E+02  3.6666E-02 -3.5912E-03
  3.4137E+02  3.6655E-02 -3.5978E-03
  3.4231E+02  3.6645E-02 -3.6044E-03
  3.4325E+02  3.6633E-02 -3.6110E-03
  3.4419E+02  3.6622E-02 -3.6176E-03
  3.4514E+02  3.6609E-02 -3.6242E-03
  3.4608E+02  3.6595E-02 -3.6308E-03
  3.4702E+02  3.6579E-02 -3.6374E-03
  3.4797E+02  3.6562E-02 -3.6439E-03
  3.4891E+02  3.6543E-02 -3.6505E-03
  3.4985E+02  3.6522E-02 -3.6570E-03
  3.5080E+02  3.6500E-02 -3.6635E-03
  3.5174E+02  3.6476E-02 -3.6700E-03
  3.5268E+02  3.6451E-02 -3.6765E-03
  3.5362E+02  3.6425E-02 -3.6829E-03
  3.5457E+02  3.6398E-02 -3.6893E-03
  3.5551E+02  3.6370E-02 -3.6957E-03
  3.5645E+02  3.6342E-02 -3.7020E-03
  3.5740E+02  3.6313E-02 -3.7084E-03
  3.5834E+02  3.6285E-02 -3.7146E-03
  3.5928E+02  3.6257E-02 -3.7209E-03
  3.6023E+02  3.6229E-02 -3.7271E-03
  3.6117E+02  3.6201E-02 -3.7333E-03
  3.6211E+02  3.6174E-02 -3.7394E-03
  3.6305E+02  3.6148E-02 -3.7455E-03
  3.6400E+02  3.6122E-02 -3.7516E-03
  3.6494E+02  3.6096E-02 -3.7576E-03
  3.6588E+02  3.6070E-02 -3.7636E-03
  3.6683E+02  3.6045E-02 -3.7696E-03
  3.6777E+02  3.6019E-02 -3.7755E-03
  3.6871E+02  3.5994E-02 -3.7814E-03
  3.6966E+02  3.5968E-02 -3.7872E-03
  3.7060E+02  3.5942E-02 -3.7930E-03
  3.7154E+02  3.5915E-02 -3.7988E-03
  3.7248E+02  3.5888E-02 -3.8045E-03
  3.7343E+02  3.5860E-02 -3.8102E-03
  3.7437E+02  3.5831E-02 -3.8158E-03
  3.7531E+02  3.5801E-02 -3.8214E-03
  3.7626E+02  3.5771E-02 -3.8270E-03
  3.7720E+02  3.5739E-02 -3.8326E-03
  3.7814E+02  3.5707E-02 -3.8381E-03
  3.7909E+02  3.5674E-02 -3.8436E-03
  3.8003E+02  3.5640E-02 -3.8491E-03
  3.8097E+02  3.5604E-02 -3.8546E-03
  3.8191E+02  3.5569E-02 -3.8601E-03
  3.8286E+02  3.5532E-02 -3.8655E-03
  3.8380E+02  3.5495E-02 -3.8710E-03
  3.8474E+02  3.5457E-02 -3.8764E-03
  3.8569E+02  3.5418E-02 -3.8819E-03
  3.8663E+02  3.5379E-02 -3.8873E-03
  3.8757E+02  3.5339E-02 -3.8928E-03
  3.8852E+02  3.5299E-02 -3.8982E-03
  3.8946E+02  3.5258E-02 -3.9036E-03
  3.9040E+02  3.5216E-02 -3.9090E-03
  3.9134E+02  3.5173E-02 -3.9144E-03
  3.9229E+02  3.5130E-02 -3.9198E-03
  3.9323E+02  3.5086E-02 -3.9252E-03
  3.9417E+02  3.5041E-02 -3.9306E-03
  3.9512E+02  3.4995E-02 -3.9359E-03
  3.9606E+02  3.4948E-02 -3.9412E-03
  3.9700E+02  3.4900E-02 -3.9465E-03
  3.9795E+02  3.4852E-02 -3.9518E-03
