# CREATED BY GENE DIAGNOSTICS TOOL on Wed Dec 16 15:38:48 2020
# diag: timetrace, run(s): 0029, time window: 0-1500(1592 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/surface/scanfiles0000/
# normalization: L_ref=1.65m
#
#  t          Re[phi]     Im[phi]   
  3.5268E+02  3.2444E-02 -9.9866E-03
  3.5362E+02  3.2405E-02 -9.9955E-03
  3.5457E+02  3.2365E-02 -1.0004E-02
  3.5551E+02  3.2325E-02 -1.0013E-02
  3.5645E+02  3.2284E-02 -1.0022E-02
  3.5740E+02  3.2243E-02 -1.0030E-02
  3.5834E+02  3.2200E-02 -1.0039E-02
  3.5928E+02  3.2158E-02 -1.0047E-02
  3.6023E+02  3.2117E-02 -1.0055E-02
  3.6117E+02  3.2075E-02 -1.0063E-02
  3.6211E+02  3.2033E-02 -1.0071E-02
  3.6305E+02  3.1992E-02 -1.0078E-02
  3.6400E+02  3.1951E-02 -1.0086E-02
  3.6494E+02  3.1909E-02 -1.0093E-02
  3.6588E+02  3.1868E-02 -1.0100E-02
  3.6683E+02  3.1828E-02 -1.0107E-02
  3.6777E+02  3.1787E-02 -1.0114E-02
  3.6871E+02  3.1747E-02 -1.0121E-02
  3.6966E+02  3.1707E-02 -1.0127E-02
  3.7060E+02  3.1666E-02 -1.0134E-02
  3.7154E+02  3.1625E-02 -1.0140E-02
  3.7248E+02  3.1585E-02 -1.0146E-02
  3.7343E+02  3.1543E-02 -1.0152E-02
  3.7437E+02  3.1502E-02 -1.0158E-02
  3.7531E+02  3.1460E-02 -1.0163E-02
  3.7626E+02  3.1417E-02 -1.0169E-02
  3.7720E+02  3.1374E-02 -1.0174E-02
  3.7814E+02  3.1330E-02 -1.0180E-02
  3.7909E+02  3.1286E-02 -1.0185E-02
  3.8003E+02  3.1240E-02 -1.0190E-02
  3.8097E+02  3.1193E-02 -1.0195E-02
  3.8191E+02  3.1146E-02 -1.0200E-02
  3.8286E+02  3.1097E-02 -1.0205E-02
  3.8380E+02  3.1046E-02 -1.0210E-02
  3.8474E+02  3.0994E-02 -1.0214E-02
  3.8569E+02  3.0941E-02 -1.0219E-02
  3.8663E+02  3.0887E-02 -1.0224E-02
  3.8757E+02  3.0831E-02 -1.0228E-02
  3.8852E+02  3.0774E-02 -1.0233E-02
  3.8946E+02  3.0715E-02 -1.0237E-02
  3.9040E+02  3.0654E-02 -1.0241E-02
