# CREATED BY GENE DIAGNOSTICS TOOL on Wed Dec 16 15:31:01 2020
# diag: gamdiag, run(s): 0025, time window: 0-1500(1543 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/surface/scanfiles0000/
# normalization: L_ref=1.65m
#
# xind= 0, x/a= 0.5, q= -2.1464562
# Fit:    0.047481956,64.666712,-6.9492445
# Analytic (Gao, Zhou/Yu): 0.078523524,0.36211323,4.1062285
#  t          Re[phi]     Im[phi]   
  2.5298E+02  4.2984E-02 -7.3674E-03
  2.5395E+02  4.2905E-02 -7.3838E-03
  2.5493E+02  4.2804E-02 -7.4000E-03
  2.5590E+02  4.2699E-02 -7.4162E-03
  2.5687E+02  4.2600E-02 -7.4323E-03
  2.5784E+02  4.2503E-02 -7.4483E-03
  2.5882E+02  4.2395E-02 -7.4643E-03
  2.5979E+02  4.2266E-02 -7.4804E-03
  2.6076E+02  4.2120E-02 -7.4964E-03
  2.6174E+02  4.1968E-02 -7.5125E-03
  2.6271E+02  4.1821E-02 -7.5286E-03
  2.6368E+02  4.1677E-02 -7.5448E-03
  2.6466E+02  4.1529E-02 -7.5611E-03
  2.6563E+02  4.1370E-02 -7.5775E-03
  2.6660E+02  4.1202E-02 -7.5939E-03
  2.6757E+02  4.1034E-02 -7.6103E-03
  2.6855E+02  4.0871E-02 -7.6266E-03
  2.6952E+02  4.0712E-02 -7.6427E-03
  2.7049E+02  4.0550E-02 -7.6588E-03
  2.7147E+02  4.0381E-02 -7.6747E-03
  2.7244E+02  4.0212E-02 -7.6904E-03
  2.7341E+02  4.0050E-02 -7.7060E-03
  2.7439E+02  3.9902E-02 -7.7214E-03
  2.7536E+02  3.9765E-02 -7.7367E-03
  2.7633E+02  3.9636E-02 -7.7517E-03
  2.7730E+02  3.9511E-02 -7.7666E-03
  2.7828E+02  3.9395E-02 -7.7814E-03
  2.7925E+02  3.9289E-02 -7.7962E-03
  2.8022E+02  3.9197E-02 -7.8110E-03
  2.8120E+02  3.9119E-02 -7.8258E-03
  2.8217E+02  3.9056E-02 -7.8407E-03
  2.8314E+02  3.9006E-02 -7.8556E-03
  2.8412E+02  3.8968E-02 -7.8707E-03
  2.8509E+02  3.8940E-02 -7.8857E-03
  2.8606E+02  3.8917E-02 -7.9009E-03
  2.8703E+02  3.8896E-02 -7.9160E-03
  2.8801E+02  3.8876E-02 -7.9312E-03
  2.8898E+02  3.8858E-02 -7.9463E-03
  2.8995E+02  3.8840E-02 -7.9614E-03
  2.9093E+02  3.8821E-02 -7.9765E-03
  2.9190E+02  3.8796E-02 -7.9914E-03
  2.9287E+02  3.8762E-02 -8.0061E-03
  2.9385E+02  3.8713E-02 -8.0206E-03
  2.9482E+02  3.8652E-02 -8.0350E-03
  2.9579E+02  3.8583E-02 -8.0490E-03
  2.9676E+02  3.8510E-02 -8.0629E-03
  2.9774E+02  3.8435E-02 -8.0765E-03
  2.9871E+02  3.8352E-02 -8.0899E-03
  2.9968E+02  3.8261E-02 -8.1031E-03
  3.0066E+02  3.8161E-02 -8.1161E-03
  3.0163E+02  3.8060E-02 -8.1289E-03
